ID	Nivel	Curso_Min	Titulo_Problema	Procedimientos	Tipos_Item	JSON_Reto	Fuente	Zona_Gris	Activo
FP_0084	basico	1E	¿Qué palabras son realmente de la familia de 'pan' o de 'flor'?	derivada	cascada;intruso;juicio	{"schema_version":"1.0","id":"FP_0084","nivel":"basico","titulo_problema":"¿Qué palabras son realmente de la familia de 'pan' o de 'flor'?","corpus":["pan","panadero","panadería","ventana","flor","florista","florero","pescado"],"items":[{"tipo":"intruso","palabras":["pan","panadero","panadería","ventana"],"feedback":"Las otras tres pertenecen a la familia de 'pan'; 'ventana' no comparte esa base.","respuesta":"ventana"},{"tipo":"intruso","palabras":["flor","florista","florero","pescado"],"feedback":"Las tres primeras comparten la base 'flor'; 'pescado' no tiene nada que ver.","respuesta":"pescado"},{"tipo":"juicio","forma":"*floreroar","veredicto":"no_existe","explicacion":"Para hacer un verbo de esa familia ya existe 'florecer'; pegar '-ar' detrás de 'florero' no fabrica ninguna palabra.","causa":"orden_piezas","opciones_causa":["orden_piezas","falta_base"],"forma_correcta":"florecer"},{"tipo":"cascada","palabra":"panadería","pasos":[{"pregunta":"¿Está formada uniendo dos palabras que aportan su significado a la palabra nueva?","respuesta":"no"},{"pregunta":"¿Tiene una pieza añadida al final?","respuesta":"si"},{"pregunta":"¿Existe 'pan' como palabra suelta?","respuesta":"si"}],"procedimiento":"derivada"}],"zona_gris":false,"metadatos":{"curso_min":"1E"}}	Fabrica_Palabras_V2_100_ejercicios.xlsx + revision Josele ago-2026	FALSE	TRUE
FP_0085	basico	1E	¿Qué palabras son realmente de la familia de 'mar' o de 'casa'?	derivada	cascada;intruso;juicio	{"schema_version":"1.0","id":"FP_0085","nivel":"basico","titulo_problema":"¿Qué palabras son realmente de la familia de 'mar' o de 'casa'?","corpus":["mar","marinero","marítimo","martillo","casa","casita","casero","camisa"],"items":[{"tipo":"intruso","palabras":["mar","marinero","marítimo","martillo"],"feedback":"La semejanza inicial engaña: 'martillo' no pertenece a la familia de 'mar'.","respuesta":"martillo"},{"tipo":"intruso","palabras":["casa","casita","casero","camisa"],"feedback":"'Camisa' empieza por 'ca-', pero no pertenece a la familia de 'casa'.","respuesta":"camisa"},{"tipo":"juicio","forma":"*casitaero","veredicto":"no_existe","explicacion":"'Casita' ya está bien formada tal cual; pegarle '-ero' detrás no fabrica ninguna palabra nueva de esa familia.","causa":"orden_piezas","opciones_causa":["orden_piezas","falta_base"],"forma_correcta":"casita"},{"tipo":"cascada","palabra":"imposible","pasos":[{"pregunta":"¿Está formada uniendo dos palabras que aportan su significado a la palabra nueva?","respuesta":"no"},{"pregunta":"¿Tiene una pieza añadida al principio que cambia el significado?","respuesta":"si"}],"procedimiento":"derivada"}],"zona_gris":false,"metadatos":{"curso_min":"1E"}}	Fabrica_Palabras_V2_100_ejercicios.xlsx + revision Josele ago-2026	FALSE	TRUE
FP_0086	basico	1E	¿Qué palabras son realmente de la familia de 'nación' o de 'educar'?	derivada	cascada;intruso;juicio	{"schema_version":"1.0","id":"FP_0086","nivel":"basico","titulo_problema":"¿Qué palabras son realmente de la familia de 'nación' o de 'educar'?","corpus":["nación","nacional","nacionalizar","narración","educar","educación","educativo","edificio"],"items":[{"tipo":"intruso","palabras":["nación","nacional","nacionalizar","narración"],"feedback":"Las tres primeras pertenecen a la familia de 'nación'; 'narración' no.","respuesta":"narración"},{"tipo":"intruso","palabras":["educar","educación","educativo","edificio"],"feedback":"La semejanza gráfica del principio es solo casualidad.","respuesta":"edificio"},{"tipo":"juicio","forma":"*deshacerero","veredicto":"no_existe","explicacion":"'Deshacer' ya está completa; añadirle '-ero' detrás no fabrica ninguna palabra real de esa familia.","causa":"orden_piezas","opciones_causa":["orden_piezas","falta_base"],"forma_correcta":"deshacer"},{"tipo":"cascada","palabra":"deshacer","pasos":[{"pregunta":"¿Está formada uniendo dos palabras que aportan su significado a la palabra nueva?","respuesta":"no"},{"pregunta":"¿Tiene una pieza añadida al principio que cambia el significado?","respuesta":"si"}],"procedimiento":"derivada"}],"zona_gris":false,"metadatos":{"curso_min":"1E"}}	Fabrica_Palabras_V2_100_ejercicios.xlsx + revision Josele ago-2026	FALSE	TRUE
FP_0087	basico	1E	Cuatro familias más: 'papel', 'calor', 'nube' y 'leer'	compuesta_lexica	cascada;intruso;juicio	{"schema_version":"1.0","id":"FP_0087","nivel":"basico","titulo_problema":"Cuatro familias más: 'papel', 'calor', 'nube' y 'leer'","corpus":["papel","papelera","empapelar","pared","calor","calentador","nube","leer"],"items":[{"tipo":"intruso","palabras":["papel","papelera","empapelar","pared"],"feedback":"Las tres primeras están relacionadas con 'papel'; 'pared' no.","respuesta":"pared"},{"tipo":"intruso","palabras":["calor","calentar","calentador","calendario"],"feedback":"Coincidir en 'cal-' no basta: 'calendario' no pertenece a la familia de 'calor'.","respuesta":"calendario"},{"tipo":"intruso","palabras":["nube","nublado","nuboso","número"],"feedback":"Las tres primeras comparten la base 'nub-'; 'número' no.","respuesta":"número"},{"tipo":"intruso","palabras":["leer","lector","lectura","lechuga"],"feedback":"'Lechuga' comienza igual, pero no pertenece a la familia de 'leer'.","respuesta":"lechuga"},{"tipo":"juicio","forma":"*floreroar","veredicto":"no_existe","explicacion":"Para hacer un verbo de esa familia ya existe 'florecer'; pegar '-ar' detrás de 'florero' no fabrica ninguna palabra.","causa":"orden_piezas","opciones_causa":["orden_piezas","falta_base"],"forma_correcta":"florecer"},{"tipo":"cascada","palabra":"sacacorchos","pasos":[{"pregunta":"¿Está formada uniendo dos palabras que aportan su significado a la palabra nueva?","respuesta":"si"},{"pregunta":"¿Se escriben juntas, en una sola palabra?","respuesta":"si"}],"procedimiento":"compuesta_lexica"}],"zona_gris":false,"metadatos":{"curso_min":"1E"}}	Fabrica_Palabras_V2_100_ejercicios.xlsx + revision Josele ago-2026	FALSE	TRUE
FP_0088	medio	3E	De 'nación' a 'nacionalizar': ¿qué piezas hacen falta?	compuesta_lexica;derivada	cascada;intruso;juicio;monta	{"schema_version":"1.0","id":"FP_0088","nivel":"medio","titulo_problema":"De 'nación' a 'nacionalizar': ¿qué piezas hacen falta?","corpus":["orden","ordenar","desorden","claro","aclarar","nación","nacional","nacionalizar"],"items":[{"tipo":"intruso","palabras":["orden","ordenar","desorden","ventana"],"feedback":"Las otras tres comparten la base 'orden'.","respuesta":"ventana"},{"tipo":"intruso","palabras":["claro","aclarar","claridad","clavel"],"feedback":"'Clavel' comparte letras iniciales, pero no la familia de 'claro'.","respuesta":"clavel"},{"tipo":"monta","piezas":[{"texto":"nación","tipo":"raiz"},{"texto":"-al","tipo":"sufijo"},{"texto":"-izar","tipo":"sufijo"},{"texto":"re-","tipo":"prefijo"}],"minimo":1,"validas":[{"palabra":"nacionalizar","usa":["nación","-al","-izar"],"procedimiento":"derivada"}],"rebotes":[{"usa":["re-","nación"],"micro":"'Nacionalizar' se forma con 'nación' + '-al' + '-izar'; 're-' no interviene."}]},{"tipo":"juicio","forma":"*tristecer","veredicto":"no_existe","explicacion":"No existe un verbo intermedio 'tristecer': las piezas 'en-' y '-ecer' entran a la vez sobre 'triste'.","causa":"parasintesis_incompleta","opciones_causa":["parasintesis_incompleta","orden_piezas"],"forma_correcta":"entristecer"},{"tipo":"cascada","palabra":"pararrayos","pasos":[{"pregunta":"¿Está formada uniendo dos palabras que aportan su significado a la palabra nueva?","respuesta":"si"},{"pregunta":"¿Se escriben juntas, en una sola palabra?","respuesta":"si"},{"pregunta":"¿La combinación nombra siempre el mismo objeto, ya fijado?","respuesta":"si"}],"procedimiento":"compuesta_lexica"}],"zona_gris":false,"metadatos":{"curso_min":"3E"}}	Fabrica_Palabras_V2_100_ejercicios.xlsx + revision Josele ago-2026	FALSE	TRUE
FP_0089	medio	3E	De 'música' a 'musicalidad': la escalera de la derivación	compuesta_lexica;derivada	cadena;cascada;intruso;juicio;monta	{"schema_version":"1.0","id":"FP_0089","nivel":"medio","titulo_problema":"De 'música' a 'musicalidad': la escalera de la derivación","corpus":["música","musical","sal","salado","útil","inútil","inutilidad","musicalidad"],"items":[{"tipo":"intruso","palabras":["música","musical","músico","mudanza"],"feedback":"Las tres primeras comparten la base 'músic-'; 'mudanza' no.","respuesta":"mudanza"},{"tipo":"intruso","palabras":["sal","salado","salero","salto"],"feedback":"'Salto' coincide en la secuencia 'sal-', pero tiene otra base.","respuesta":"salto"},{"tipo":"monta","piezas":[{"texto":"útil","tipo":"raiz"},{"texto":"in-","tipo":"prefijo"},{"texto":"-idad","tipo":"sufijo"},{"texto":"-mente","tipo":"sufijo"}],"minimo":1,"validas":[{"palabra":"inutilidad","usa":["in-","útil","-idad"],"procedimiento":"derivada"}],"rebotes":[{"usa":["-mente","útil"],"micro":"'Inutilidad' termina en '-idad'; '-mente' es intrusa aquí."}]},{"tipo":"juicio","forma":"*rojecer","veredicto":"no_existe","explicacion":"No existe un verbo intermedio 'rojecer': las piezas 'en-' y '-ecer' entran a la vez sobre 'rojo'.","causa":"parasintesis_incompleta","opciones_causa":["parasintesis_incompleta","falta_base"],"forma_correcta":"enrojecer"},{"tipo":"cadena","pasos":["música","musical","musicalidad"],"distractores":["músico"],"feedback":"Cada paso se fabrica sobre el anterior: sin 'musical' no hay 'musicalidad'; 'músico' es de la familia pero no es un peldaño de esta escalera."},{"tipo":"cascada","palabra":"aguardiente","pasos":[{"pregunta":"¿Se reconocen dos piezas con significado propio?","respuesta":"si"},{"pregunta":"¿Se escriben juntas, en una sola palabra?","respuesta":"si"},{"pregunta":"¿La combinación nombra siempre la misma bebida, ya fijada?","respuesta":"si"}],"procedimiento":"compuesta_lexica"}],"zona_gris":false,"metadatos":{"curso_min":"3E"}}	Fabrica_Palabras_V2_100_ejercicios.xlsx + revision Josele ago-2026	FALSE	TRUE
FP_0090	medio	3E	De 'flor' a 'florero': familias, montajes y una abreviatura	abreviatura;derivada	cascada;intruso;juicio;monta	{"schema_version":"1.0","id":"FP_0090","nivel":"medio","titulo_problema":"De 'flor' a 'florero': familias, montajes y una abreviatura","corpus":["pan","panecillo","pantalla","campo","campesino","flor","florero","núm."],"items":[{"tipo":"intruso","palabras":["pan","panecillo","panadero","pantalla"],"feedback":"Coincidir en 'pan-' no convierte a 'pantalla' en parte de la familia de 'pan'.","respuesta":"pantalla"},{"tipo":"intruso","palabras":["campo","campesino","campestre","campana"],"feedback":"La semejanza formal no basta para pertenecer a la misma familia.","respuesta":"campana"},{"tipo":"monta","piezas":[{"texto":"flor","tipo":"raiz"},{"texto":"-ero","tipo":"sufijo"},{"texto":"des-","tipo":"prefijo"},{"texto":"-ista","tipo":"sufijo"}],"minimo":1,"validas":[{"palabra":"florero","usa":["flor","-ero"],"procedimiento":"derivada"}],"rebotes":[{"usa":["des-","flor"],"micro":"'Florero' se forma con 'flor' + '-ero'; 'des-' no interviene en esta palabra."}]},{"tipo":"juicio","forma":"*mudecer","veredicto":"no_existe","explicacion":"No existe un verbo intermedio 'mudecer': las piezas 'en-' y '-ecer' entran a la vez sobre 'mudo'.","causa":"parasintesis_incompleta","opciones_causa":["parasintesis_incompleta","familia_falsa"],"forma_correcta":"enmudecer"},{"tipo":"juicio","forma":"*papelar","veredicto":"no_existe","explicacion":"No existe un verbo intermedio 'papelar': las piezas 'em-' y '-ar' entran a la vez sobre 'papel'.","causa":"parasintesis_incompleta","opciones_causa":["parasintesis_incompleta","orden_piezas"],"forma_correcta":"empapelar"},{"tipo":"cascada","palabra":"núm.","pasos":[{"pregunta":"¿Al leerla en voz alta se dice la palabra entera?","respuesta":"si"},{"pregunta":"¿Se escribe con un punto?","respuesta":"si"}],"procedimiento":"abreviatura"}],"zona_gris":false,"metadatos":{"curso_min":"3E"}}	Fabrica_Palabras_V2_100_ejercicios.xlsx + revision Josele ago-2026	FALSE	TRUE
FP_0091	medio	3E	De 'moderno' a 'modernización': el gran repaso de nivel medio	acortamiento;derivada;parasintetica	cadena;cascada;intruso;juicio;monta	{"schema_version":"1.0","id":"FP_0091","nivel":"medio","titulo_problema":"De 'moderno' a 'modernización': el gran repaso de nivel medio","corpus":["nación","nacionalista","feliz","felino","ordenar","orientación","moderno","modernización"],"items":[{"tipo":"intruso","palabras":["nación","nacional","nacionalista","nacimiento"],"feedback":"'Nacimiento' se relaciona con 'nacer', no con la base 'nación'.","respuesta":"nacimiento"},{"tipo":"intruso","palabras":["feliz","felicidad","felizmente","felino"],"feedback":"'Felino' empieza por 'fel-', pero no pertenece a la familia de 'feliz'.","respuesta":"felino"},{"tipo":"intruso","palabras":["ordenar","ordenador","desordenado","orientación"],"feedback":"Las tres primeras comparten la base 'orden'; 'orientación' viene de otra base.","respuesta":"orientación"},{"tipo":"intruso","palabras":["salud","saludable","saludar","salto"],"feedback":"Las tres primeras están relacionadas con 'salud'; 'salto' no.","respuesta":"salto"},{"tipo":"monta","piezas":[{"texto":"triste","tipo":"raiz"},{"texto":"en-","tipo":"prefijo"},{"texto":"-ecer","tipo":"sufijo"},{"texto":"-oso","tipo":"sufijo"}],"minimo":1,"validas":[{"palabra":"entristecer","usa":["en-","triste","-ecer"],"procedimiento":"parasintetica"}],"rebotes":[{"usa":["-oso","triste"],"micro":"'Entristecer' usa 'en-' + 'triste' + '-ecer'; '-oso' no forma parte de esta palabra."}]},{"tipo":"monta","piezas":[{"texto":"nación","tipo":"raiz"},{"texto":"-al","tipo":"sufijo"},{"texto":"anti-","tipo":"prefijo"},{"texto":"-ismo","tipo":"sufijo"}],"minimo":1,"validas":[{"palabra":"nacionalismo","usa":["nación","-al","-ismo"],"procedimiento":"derivada"}],"rebotes":[{"usa":["anti-","nación"],"micro":"'Nacionalismo' se forma con 'nacional' + '-ismo'; 'anti-' no interviene."}]},{"tipo":"juicio","forma":"*terrizar","veredicto":"no_existe","explicacion":"No existe un verbo intermedio 'terrizar': las piezas 'a-' y '-ar' entran a la vez sobre 'tierra'.","causa":"parasintesis_incompleta","opciones_causa":["parasintesis_incompleta","orden_piezas"],"forma_correcta":"aterrizar"},{"tipo":"juicio","forma":"*imperdonar","veredicto":"no_existe","explicacion":"Primero se fabricó 'perdonable' (perdonar+-able), y después 'im-' lo negó: el prefijo entra el último.","causa":"orden_piezas","opciones_causa":["orden_piezas","parasintesis_incompleta"],"forma_correcta":"imperdonable"},{"tipo":"juicio","forma":"*anticonstitución","veredicto":"no_existe","explicacion":"'Anticonstitución' no existe: primero se fabricó 'constitucional' añadiendo '-al', y 'anti-' entró el último.","causa":"orden_piezas","opciones_causa":["orden_piezas","familia_falsa"],"forma_correcta":"anticonstitucional"},{"tipo":"juicio","forma":"ordenador","veredicto":"correcta","explicacion":"Es un control: 'ordenador' está bien formada."},{"tipo":"cadena","pasos":["moderno","modernizar","modernización"],"distractores":["modernidad"],"feedback":"Cada paso se fabrica sobre el anterior: sin 'modernizar' no hay 'modernización'; 'modernidad' es de la familia pero no es un peldaño de esta escalera."},{"tipo":"cascada","palabra":"foto","pasos":[{"pregunta":"¿Existe una palabra más larga de la que viene?","respuesta":"si"},{"pregunta":"¿Se usa ya como palabra independiente, sin decir la palabra entera?","respuesta":"si"}],"procedimiento":"acortamiento"}],"zona_gris":false,"metadatos":{"curso_min":"3E"}}	Fabrica_Palabras_V2_100_ejercicios.xlsx + revision Josele ago-2026	FALSE	TRUE
FP_0092	avanzado	1B	El orden real: ¿'parcial' antes o después de 'imparcial'?		intruso;juicio;piezas	{"schema_version":"1.0","id":"FP_0092","nivel":"avanzado","titulo_problema":"El orden real: ¿'parcial' antes o después de 'imparcial'?","corpus":["bello","embellecer","parte","parcial","imparcial","imparcialidad"],"items":[{"tipo":"intruso","palabras":["bello","embellecer","embellecimiento","batalla"],"feedback":"Las tres primeras pertenecen a la familia de 'bello'; 'batalla' no.","respuesta":"batalla"},{"tipo":"juicio","forma":"*bellecer","veredicto":"no_existe","explicacion":"No existe un verbo intermedio 'bellecer': las piezas 'em-' y '-ecer' entran a la vez sobre 'bello'.","causa":"parasintesis_incompleta","opciones_causa":["parasintesis_incompleta","orden_piezas"],"forma_correcta":"embellecer"},{"tipo":"piezas","modo":"capas","palabra":"imparcialidad","cortes":["im","parcial","idad"],"capas":[{"forma":"parte","existe":true},{"forma":"parcial","existe":true},{"forma":"imparcial","existe":true},{"forma":"imparcialidad","existe":true}],"alternativa_rechazada":{"capas":["parte","parcial","parcialidad","imparcialidad"],"micro":"Aunque 'parcialidad' existe, 'imparcialidad' no se forma negando la parcialidad, sino añadiendo '-idad' al adjetivo ya formado 'imparcial' (cualidad de ser imparcial)."}}],"zona_gris":false,"metadatos":{"curso_min":"1B"}}	Fabrica_Palabras_V2_100_ejercicios.xlsx + revision Josele ago-2026	FALSE	TRUE
FP_0093	avanzado	1B	'Inutilizable': ¿las dos lecturas valen a la vez?	derivada	frontera;intruso;monta;piezas	{"schema_version":"1.0","id":"FP_0093","nivel":"avanzado","titulo_problema":"'Inutilizable': ¿las dos lecturas valen a la vez?","corpus":["móvil","inmovilizar","movilizable","comprender","comprensible","incomprensible","tierra","aterrizaje"],"items":[{"tipo":"intruso","palabras":["móvil","inmovilizar","movilizable","inmoral"],"feedback":"'Inmoral' comparte las letras iniciales 'in-', pero no la base 'móvil/movil-'.","respuesta":"inmoral"},{"tipo":"monta","piezas":[{"texto":"comprender","tipo":"raiz"},{"texto":"-ible","tipo":"sufijo"},{"texto":"in-","tipo":"prefijo"},{"texto":"-mente","tipo":"sufijo"}],"minimo":1,"validas":[{"palabra":"incomprensible","usa":["in-","comprender","-ible"],"procedimiento":"derivada"}],"rebotes":[{"usa":["-mente","comprender"],"micro":"'Incomprensible' no incorpora '-mente'; la secuencia relevante es 'in-' + 'comprensible'."}]},{"tipo":"frontera","palabra":"inutilizable","opciones":[{"texto":"in- + utilizable: 'que no se puede utilizar'","ok":true,"micro":"Existe 'utilizable' (utilizar+-able); 'in-' negaría directamente esa posibilidad."},{"texto":"inutilizar + -able: 'que se puede volver inútil'","ok":true,"micro":"Existe 'inutilizar' (in-+útil+-izar); '-able' se pegaría a ese verbo ya formado."}],"explicacion":"Las dos secuencias llegan a formas que existen de verdad y a significados que se usan: no hay un único orden real de fabricación para esta palabra.","peso":2,"zona_gris":true},{"tipo":"piezas","modo":"capas","palabra":"aterrizaje","cortes":["a","terriz","aje"],"capas":[{"forma":"aterrizar","existe":true},{"forma":"aterrizaje","existe":true}],"alternativa_rechazada":{"capas":["terrizaje","aterrizaje"],"micro":"'*Terrizaje' no existe. A la base 'tierra' se le añadieron 'a-' y '-ar' a la vez para crear el verbo 'aterrizar'; solo después se añadió '-aje'."}}],"zona_gris":true,"metadatos":{"curso_min":"1B"}}	Fabrica_Palabras_V2_100_ejercicios.xlsx + revision Josele ago-2026	TRUE	TRUE
